id,casenumber,date,block,iucr,primarytype,description,locationdescription,arrest,domestic,beat,district,ward,communityarea,fbicode,xcoordinate,ycoordinate,year,updatedon,latitude,longitude,location
10271247,HY459446,10/12/2015 05:00:00 PM,060XX S GREEN ST,0560,ASSAULT,SIMPLE,RESIDENCE,false,true,712,7,16,68,08A,1171670,1864896,2015,10/19/2015 03:58:42 PM,41.784733,-87.646126,"(41.784732216, -87.646127681)"
10271227,HY459413,10/12/2015 04:30:00 PM,037XX N CICERO AVE,0560,ASSAULT,SIMPLE,RESIDENCE,false,false,1634,16,45,15,08A,1143709,1924392,2015,10/19/2015 03:58:42 PM,41.948563,-87.747154,"(41.948564397, -87.747156066)"
10271431,HY459572,10/12/2015 04:04:00 PM,007XX N MENARD AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,false,false,1511,15,29,25,04A,1137594,1904498,2015,10/19/2015 03:58:42 PM,41.894085,-87.770111,"(41.894085572, -87.770114249)"
10271150,HY459414,10/12/2015 03:30:00 PM,022XX S UNION AVE,0560,ASSAULT,SIMPLE,OTHER,false,false,1235,12,25,31,08A,1171850,1889639,2015,10/19/2015 03:58:42 PM,41.852627,-87.644737,"(41.852625456, -87.64474073)"
10271124,HY459237,10/12/2015 03:20:00 PM,009XX W 63RD ST,0560,ASSAULT,SIMPLE,RESIDENCE PORCH/HALLWAY,false,false,723,7,16,68,08A,1171308,1863061,2015,10/19/2015 03:58:42 PM,41.779705,-87.647507,"(41.779704696, -87.647508582)"
10271267,HY459496,10/12/2015 03:00:00 PM,039XX W 71ST ST,0560,ASSAULT,SIMPLE,STREET,true,false,833,8,13,65,08A,1151116,1857225,2015,10/19/2015 03:58:42 PM,41.764107,-87.721687,"(41.764107845, -87.721687872)"
10270990,HY459131,10/12/2015 01:40:00 PM,034XX N CENTRAL AVE,0560,ASSAULT,SIMPLE,STREET,false,true,1633,16,38,15,08A,1138421,1922225,2015,10/19/2015 03:58:42 PM,41.942715,-87.766647,"(41.942715527, -87.766646681)"
10271086,HY459217,10/12/2015 01:39:00 PM,034XX W DIVERSEY AVE,0550,ASSAULT,AGGRAVATED PO: HANDGUN,STREET,false,false,1412,14,35,21,04A,1153036,1918407,2015,10/19/2015 03:58:42 PM,41.931961,-87.713028,"(41.931960944, -87.713030744)"
10271092,HY459184,10/12/2015 01:30:00 PM,043XX W MARQUETTE RD,0560,ASSAULT,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),false,false,833,8,13,65,08A,1148625,1859819,2015,10/19/2015 03:58:42 PM,41.771275,-87.730751,"(41.771274459, -87.730751505)"
10271033,HY459145,10/12/2015 01:30:00 PM,040XX W DIVISION ST,0560,ASSAULT,SIMPLE,APARTMENT,false,false,2534,25,27,23,08A,1149250,1907701,2015,10/19/2015 03:58:42 PM,41.902657,-87.727219,"(41.902656994, -87.727221904)"
